id,u,v
588,2482,2272
589,1539,1164
590,2829,394
591,3224,200
592,1325,1734
593,2480,2289
594,2895,160
595,2997,1672
596,1325,1652
597,3431,105
598,3223,983
599,1202,2161
600,1212,831
601,4412,570
602,2435,2325
603,4444,559
604,3265,116
605,4564,557
606,3755,652
607,1939,1932
608,1215,640
609,3336,116
610,3703,648
611,4491,608
612,4447,608
613,1190,832
614,1123,662
615,4490,603
616,1970,1997
617,1292,823
618,1532,1159
619,2381,1346
620,2747,2029
621,873,743
622,4438,538
623,2018,2000
624,1485,958
625,4480,574
626,1376,1639
627,4422,606
628,823,754
629,2994,2081
630,1238,730
631,3988,638
632,3793,1546
633,1949,1933
634,925,898
635,1162,1614
636,909,734
637,901,736
638,1079,672
639,2484,2301
640,4409,616
641,2480,2301
642,4488,601
643,3449,1476
644,2457,2258
645,1203,648
646,98,965
647,1177,842
648,3741,652
649,3494,1473
650,3747,1482
651,4434,591
652,3836.4,682.8
653,360,1339.2
654,3788.4,664.8
655,3764.4,1532.4
656,195.6,980.4
657,636,1184.4
658,2713.2,1872
659,4030.8,1804.8
660,723.6,1135.2
661,904.8,1680
662,4424.4,572.4
663,3193.2,871.2
664,1370.4,1636.8
665,3807.6,1484.4
666,391.2,1182
667,3676.8,1488
668,4423.2,614.4
669,1146,1615.2
670,3744,1521.6
671,88.8,970.8
672,3792,1521.6
673,3841.2,664.8
674,674.4,1180.8
675,4006.8,618
676,3220.8,982.8
677,3892.8,618
678,706.8,1134
679,1183.2,660
680,403.2,1179.6
681,3009.6,1726.8
682,2923.2,879.6
683,3591.6,674.4
684,2722.8,2034
685,3852,680.4
686,3783.6,680.4
687,3862.8,674.4
688,3730.8,423.6
689,2445.6,2062.8
690,2006.4,1962
691,3009.6,883.2
692,3818.4,1484.4
693,4470,544.8
694,1194,1660.8
695,1323.6,1639.2
696,3955.2,631.2
697,3930,631.2
698,1966.8,2043.6
699,1054.8,675.6
700,3888,664.8
701,704.4,1176
702,697.2,1176
703,3891.6,631.2
704,1113.6,1740
705,1156.8,666
706,1240.8,1741.2
707,1290,1735.2
708,4194,975.6
709,3840,631.2
710,3735.6,1525.2
711,4414.8,601.2
712,2498.4,2000.4
713,3758.4,1532.4
714,3906,675.6
715,3736.8,1440
716,666,892.8
717,3811.2,679.2
718,3993.6,664.8
719,1305.6,1735.2
720,1332,1729.2
721,1820.4,2325.6
722,1704,1172.4
723,1982.4,2035.2
724,3957.6,616.8
725,2917.2,901.2
726,406.8,1171.2
727,1063.2,1926
728,3084,1798.8
729,3902.4,660
730,3910.8,615.6
731,1330.8,1640.4
732,1957.2,2104.8
733,2718,1945.2
734,955.2,1708.8
735,4416,615.6
736,2209.2,1708.8
737,2926.8,903.6
738,2475.6,2060.4
739,3010.8,1797.6
